,LocalCidade,LocalUF,RegiaoBrasil,PopEstimada_2018,PopCenso_2010,IDHM,ReceitasRealizadas_2014,DespesasEmpenhadas_2014,Pib_2014
211,JACUNDA,PA,N,58457,51360,0.622,85980,77469,8224.91
212,JURUTI,PA,N,56908,47086,0.592,107910,107405,14284.16
213,LIMOEIRO DO AJURU,PA,N,28583,25021,0.541,48606,41888,14480.24
216,MARABA,PA,N,275086,233669,0.668,683529,831997,27956.09
219,MARITUBA,PA,N,129321,108246,0.676,187696,193961,13023.69
220,MEDICILANDIA,PA,N,31213,27328,0.582,48944,49319,20856.56
225,MONTE ALEGRE,PA,N,57900,55462,0.589,104549,115767,10925.13
227,NOVA ESPERANCA DO PIRIA,PA,N,21291,20158,0.502,40326,38160,8456.67
228,NOVA IPIXUNA,PA,N,16499,14645,0.581,33140,31824,8488.4
229,NOVA TIMBOTEUA,PA,N,15218,13670,0.609,29005,25973,6813.05
231,NOVO REPARTIMENTO,PA,N,74602,62050,0.537,141772,134828,10442.82
232,OBIDOS,PA,N,51964,49333,0.594,82552,85879,10621.03
233,OEIRAS DO PARA,PA,N,32168,28595,0.507,58780,58083,11674.45
234,ORIXIMINA,PA,N,72160,62794,0.623,169210,163650,25017.98
235,OUREM,PA,N,17721,16311,0.568,31277,29567,9142.69
237,PACAJA,PA,N,46986,39979,0.515,71693,70062,9471.17
238,PALESTINA DO PARA,PA,N,7596,7475,0.589,17881,16119,7022.3
239,PARAGOMINAS,PA,N,111764,97819,0.645,242966,229502,22462.78
242,PEIXE-BOI,PA,N,8073,7854,0.581,18927,17268,6206.18
243,PICARRA,PA,N,12983,12697,0.563,32298,30734,14373.01
244,PLACAS,PA,N,30293,23934,0.552,39435,36304,7969.87
245,PONTA DE PEDRAS,PA,N,30608,25999,0.562,43277,42048,6459.79
246,PORTEL,PA,N,61126,52172,0.483,111828,128181,7698.49
247,PORTO DE MOZ,PA,N,40458,33956,0.503,75041,39031,5686.95
248,PRAINHA,PA,N,29886,29349,0.523,63796,69595,7562.29
249,PRIMAVERA,PA,N,10792,10268,0.577,23290,22765,7856.02
250,QUATIPURU,PA,N,13512,12411,0.543,16448,15176,5809.03
252,RIO MARIA,PA,N,18186,17697,0.638,39763,36032,20390.52
253,RONDON DO PARA,PA,N,51903,46964,0.602,72402,74955,9672.65
254,RUROPOLIS,PA,N,49503,40087,0.548,56050,53992,6048.6
255,SALINOPOLIS,PA,N,40424,37421,0.647,61527,59193,8935.6
256,SALVATERRA,PA,N,23424,20183,0.608,38435,35704,6446.02
258,SANTA CRUZ DO ARARI,PA,N,9939,8155,0.557,15319,12126,6524.15
259,SANTA ISABEL DO PARA,PA,N,69746,59466,0.659,93335,85697,9196.28
261,SANTA MARIA DAS BARREIRAS,PA,N,21042,17206,0.544,43715,47395,12593.76
262,SANTA MARIA DO PARA,PA,N,24725,23026,0.598,35201,32922,8548.0
263,SANTANA DO ARAGUAIA,PA,N,71187,56153,0.602,93608,87390,10265.22
264,SANTAREM,PA,N,302667,294580,0.691,434515,449384,13606.9
268,SAO DOMINGOS DO ARAGUAIA,PA,N,25358,23130,0.594,47485,40233,8719.74
270,SAO FELIX DO XINGU,PA,N,124763,91340,0.594,133277,127599,10481.26
273,SAO JOAO DA PONTA,PA,N,6059,5265,0.583,14535,12043,6574.34
278,SAPUCAIA,PA,N,5849,5047,0.59,18041,16355,16111.92
279,SENADOR JOSE PORFIRIO,PA,N,11839,13045,0.514,32052,30313,8827.69
281,TAILANDIA,PA,N,103664,79297,0.588,123462,114732,8159.12
283,TERRA SANTA,PA,N,18619,16949,0.635,48160,43866,27057.58
284,TOME-ACU,PA,N,62854,56518,0.586,117438,117443,9249.95
285,TRACUATEUA,PA,N,30656,27455,0.531,53518,52536,6130.64
286,TRAIRAO,PA,N,18807,16875,0.562,35607,36192,12573.44
287,TUCUMA,PA,N,39059,33690,0.659,77285,72836,17846.42
288,TUCURUI,PA,N,112148,97128,0.666,298742,314127,39513.48
289,ULIANOPOLIS,PA,N,57632,43341,0.604,72636,69015,24826.18
290,URUARA,PA,N,45517,44789,0.589,75408,75726,10936.13
291,VIGIA,PA,N,53191,47889,0.617,56929,57274,6766.41
292,VISEU,PA,N,61049,56716,0.515,108289,109629,7391.38
296,AMAPA,AP,N,9029,8069,0.642,14168,15152,15535.58
298,CALCOENE,AP,N,10926,9000,0.643,15787,16977,13149.42
303,MACAPA,AP,N,493634,398204,0.733,706901,563438,19915.89
304,MAZAGAO,AP,N,21206,17032,0.592,42309,39701,10280.72
306,PORTO GRANDE,AP,N,21484,16809,0.64,35233,35758,14891.42
307,PRACUUBA,AP,N,4993,3793,0.614,12040,10685,12283.65
311,ABREULANDIA,TO,N,2564,2391,0.665,10319,8981,14687.94
312,AGUIARNOPOLIS,TO,N,6572,5162,0.657,14764,13761,17769.99
313,ALIANCA DO TOCANTINS,TO,N,5434,5671,0.663,12428,11323,13045.55
314,ALMAS,TO,N,7131,7586,0.636,13513,12709,16175.32
315,ALVORADA,TO,N,8427,8374,0.708,15690,14430,27168.91
316,ANANAS,TO,N,9607,9865,0.671,16532,14796,9231.66
317,ANGICO,TO,N,3417,3175,0.648,324,10596,12299.98
318,APARECIDA DO RIO NEGRO,TO,N,4741,4213,0.651,12210,10679,15425.42
319,ARAGOMINAS,TO,N,5786,5882,0.593,12967,11293,9914.2
320,ARAGUACEMA,TO,N,7016,6317,0.639,10946,13761,10892.68
321,ARAGUACU,TO,N,8567,8786,0.675,21063,17644,18000.35
323,ARAGUANA,TO,N,5663,5030,0.604,11572,13601,10681.96
324,ARAGUATINS,TO,N,35346,31329,0.631,53148,45144,9590.43
325,ARAPOEMA,TO,N,6670,6742,0.68,12710,11237,14180.06
326,ARRAIAS,TO,N,10601,10645,0.651,18503,17527,11900.79
327,AUGUSTINOPOLIS,TO,N,18178,15950,0.67,25714,23380,10749.73
328,AURORA DO TOCANTINS,TO,N,3731,3446,0.677,8952,8064,10158.82
330,BABACULANDIA,TO,N,10662,10424,0.642,20664,18978,8560.9
331,BANDEIRANTES DO TOCANTINS,TO,N,3512,3122,0.638,13581,11687,25360.51
332,BARRA DO OURO,TO,N,4549,4123,0.603,11455,10779,10937.88
333,BARROLANDIA,TO,N,5614,5349,0.642,12597,11223,10907.0
334,BERNARDO SAYAO,TO,N,4469,4456,0.638,12513,11522,14293.73
335,BOM JESUS DO TOCANTINS,TO,N,4779,3768,0.66,9751,8654,13599.42
336,BRASILANDIA DO TOCANTINS,TO,N,2191,2064,0.684,10365,9418,18261.02
337,BREJINHO DE NAZARE,TO,N,5475,5185,0.686,13311,11869,17583.46
338,BURITI DO TOCANTINS,TO,N,11197,9768,0.627,14024,7650,7023.79
339,CACHOEIRINHA,TO,N,2266,2148,0.627,10537,9405,9813.98
340,CAMPOS LINDOS,TO,N,9917,8139,0.544,14820,19077,33530.04
342,CARMOLANDIA,TO,N,2556,2316,0.64,10159,8949,12841.25
343,CARRASCO BONITO,TO,N,4059,3688,0.594,11632,10597,7675.98
345,CENTENARIO,TO,N,2874,2566,0.569,9318,8173,10003.57
346,CHAPADA DE AREIA,TO,N,1401,1335,0.619,8638,7163,14009.49
347,CHAPADA DA NATIVIDADE,TO,N,3334,3277,0.62,9472,8323,18124.73
348,COLINAS DO TOCANTINS,TO,N,34990,30838,0.701,70493,59355,16987.98
349,COMBINADO,TO,N,4843,4669,0.697,10199,9304,11060.97
350,CONCEICAO DO TOCANTINS,TO,N,4124,4182,0.592,9950,8916,9830.59
351,COUTO DE MAGALHAES,TO,N,5536,5009,0.605,14687,13515,14118.43
352,CRISTALANDIA,TO,N,7300,7234,0.673,12665,11386,13315.2
353,CRIXAS DO TOCANTINS,TO,N,1708,1564,0.644,10111,8860,22314.33
354,DARCINOPOLIS,TO,N,6018,5273,0.581,12617,11408,12627.79
355,DIANOPOLIS,TO,N,21850,19112,0.701,39197,33643,11792.5
356,DIVINOPOLIS DO TOCANTINS,TO,N,6856,6363,0.683,13638,14504,14342.59
357,DOIS IRMAOS DO TOCANTINS,TO,N,7211,7161,0.583,13373,12478,10923.35
358,DUERE,TO,N,4687,4592,0.679,13484,11542,24626.17
359,ESPERANTINA,TO,N,10851,9476,0.57,18121,17749,7074.53
360,FATIMA,TO,N,3841,3805,0.697,11593,9697,15678.04
361,FIGUEIROPOLIS,TO,N,5284,5340,0.689,13537,12329,25490.14
362,FILADELFIA,TO,N,8837,8505,0.621,18486,17539,10179.05
363,FORMOSO DO ARAGUAIA,TO,N,18482,18427,0.67,36749,37050,19060.33
365,GOIANORTE,TO,N,5116,4956,0.621,11267,9871,10801.49
367,GUARAI,TO,N,25677,23200,0.741,42221,38291,21904.05
368,GURUPI,TO,N,85737,76755,0.759,205536,170593,22038.53
369,IPUEIRAS,TO,N,1977,1639,0.62,9257,8055,16623.26
370,ITACAJA,TO,N,7414,7104,0.612,14663,14158,10611.76
371,ITAGUATINS,TO,N,5896,6029,0.616,12185,11003,8375.87
372,ITAPIRATINS,TO,N,3758,3532,0.601,12667,11938,14859.15
373,ITAPORA DO TOCANTINS,TO,N,2435,2445,0.65,9542,8271,15534.51
374,JAU DO TOCANTINS,TO,N,3819,3507,0.662,12040,10492,12512.21
375,JUARINA,TO,N,2202,2231,0.584,8865,8010,13006.01
376,LAGOA DA CONFUSAO,TO,N,13034,10210,0.627,23071,21153,36889.91
377,LAGOA DO TOCANTINS,TO,N,4237,3525,0.579,9468,8497,8090.46
378,LAJEADO,TO,N,3101,2773,0.675,31356,25959,18120.21
379,LAVANDEIRA,TO,N,1892,1605,0.66,7679,3498,10520.66
380,LIZARDA,TO,N,3748,3725,0.57,10074,9113,8146.54
381,LUZINOPOLIS,TO,N,3060,2622,0.639,8957,7982,11029.46
382,MARIANOPOLIS DO TOCANTINS,TO,N,5094,4352,0.631,13019,11229,16797.74
383,MATEIROS,TO,N,2638,2223,0.607,11382,10009,40988.21
384,MAURILANDIA DO TOCANTINS,TO,N,3403,3154,0.58,11384,9707,8435.0
385,MIRACEMA DO TOCANTINS,TO,N,18566,20684,0.684,50995,45889,25617.84
387,MONTE DO CARMO,TO,N,7827,6716,0.622,15688,13223,15763.7
388,MONTE SANTO DO TOCANTINS,TO,N,2263,2085,0.62,9642,8976,13468.9
389,PALMEIRAS DO TOCANTINS,TO,N,6570,5740,0.628,11331,10160,9120.73
390,MURICILANDIA,TO,N,3514,3152,0.596,10613,9086,11123.31
391,NATIVIDADE,TO,N,9239,9000,0.673,12906,13410,13126.51
392,NAZARE,TO,N,3959,4386,0.643,10637,11736,10304.09
393,NOVA OLINDA,TO,N,11719,10686,0.631,22734,20603,22056.64
394,NOVA ROSALANDIA,TO,N,4215,3770,0.661,10182,8807,9883.94
395,NOVO ACORDO,TO,N,4287,3762,0.639,10885,9715,9720.53
396,NOVO ALEGRE,TO,N,2332,2286,0.699,8304,7310,10248.87
397,NOVO JARDIM,TO,N,2698,2457,0.596,8960,8188,9999.0
398,OLIVEIRA DE FATIMA,TO,N,1106,1037,0.675,8535,8501,16723.59
399,PALMEIRANTE,TO,N,5919,4954,0.571,16853,14303,13225.29
400,PALMEIROPOLIS,TO,N,7641,7339,0.673,16729,14752,13622.55
401,PARAISO DO TOCANTINS,TO,N,50602,44417,0.764,79040,66489,20617.04
402,PARANA,TO,N,10461,10338,0.595,33215,34363,18418.57
403,PAU D'ARCO,TO,N,4831,4588,0.661,11452,10004,11504.84
404,PEDRO AFONSO,TO,N,13380,11539,0.732,25776,24421,45683.5
405,PEIXE,TO,N,11623,10384,0.674,39207,33550,47975.15
406,PEQUIZEIRO,TO,N,5443,5054,0.627,14129,13084,13132.08
407,COLMEIA,TO,N,8270,8611,0.671,18754,17955,12884.86
408,PINDORAMA DO TOCANTINS,TO,N,4464,4506,0.605,11216,10173,9729.34
409,PIRAQUE,TO,N,3023,2920,0.621,14046,12775,15586.2
411,PONTE ALTA DO BOM JESUS,TO,N,4601,4544,0.603,9429,9013,8838.27
412,PONTE ALTA DO TOCANTINS,TO,N,7961,7180,0.624,13326,11755,8941.23
413,PORTO ALEGRE DO TOCANTINS,TO,N,3108,2796,0.645,8839,7540,8914.4
414,PORTO NACIONAL,TO,N,52700,49146,0.74,82355,93721,26324.43
415,PRAIA NORTE,TO,N,8365,7659,0.583,17847,16981,7190.09
416,PRESIDENTE KENNEDY,TO,N,3692,3681,0.669,9640,8685,12205.03
417,PUGMIL,TO,N,2659,2369,0.669,9945,8780,17151.02
418,RECURSOLANDIA,TO,N,4244,3768,0.5,10697,10105,9217.31
419,RIACHINHO,TO,N,4604,4191,0.572,13912,11830,9206.15
420,RIO DA CONCEICAO,TO,N,2088,1714,0.608,8516,8413,8465.82
421,RIO DOS BOIS,TO,N,2811,2570,0.616,8569,7479,13408.41
422,RIO SONO,TO,N,6468,6254,0.6,12110,11966,8235.17
423,SAMPAIO,TO,N,4627,3864,0.606,9884,8861,7112.79
424,SANDOLANDIA,TO,N,3378,3326,0.659,11413,10056,17581.93
425,SANTA FE DO ARAGUAIA,TO,N,7426,6599,0.616,15395,14744,12710.43
426,SANTA MARIA DO TOCANTINS,TO,N,3381,2894,0.634,9523,8617,13977.8
427,SANTA RITA DO TOCANTINS,TO,N,2344,2128,0.651,10844,9461,19981.97
428,SANTA ROSA DO TOCANTINS,TO,N,4811,4568,0.595,12552,11136,22840.53
429,SANTA TEREZA DO TOCANTINS,TO,N,2834,2523,0.662,9821,8462,8937.71
